,Brand,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Model Name,Dial Shape,Strap Color,Strap Material,Touchscreen,Battery Life (Days),Bluetooth,Display Size,Weight
208,samsung,16999.0,31990.0,46.86151922,4.4,23940.0,Galaxy Watch Active 2 Steel,Circle,Black,Leather,Yes,3.5,Yes,1.7 inches,20 - 35 g
209,samsung,16999.0,25990.0,34.59407464,4.4,23940.0,Galaxy Watch Active 2 Aluminium,Circle,Beige,Silicon,Yes,3.5,Yes,1.7 inches,<= 20 g
210,samsung,27490.0,29989.0,8.333055454,4.2,201.0,Galaxy Watch 46 mm LTE,Circle,Black,Silicon,Yes,3.5,Yes,1.8 inches,75g +
211,samsung,19990.0,14598.204244031831,48.236893613453574,4.3,68.0,Galaxy Watch Active,Circle,Blue,Rubber,Yes,3.5,Yes,1.1 inches,<= 20 g
212,samsung,24490.0,28490.0,14.04001404,3.7,153.0,Galaxy Watch 42 mm LTE,Circle,Beige,Silicon,Yes,3.5,Yes,1.7 inches,20 - 35 g
213,samsung,30990.0,34490.0,10.14786895,4.1,1980.0,Galaxy Watch Active 2 Steel LTE,Circle,Brown,Silicon,Yes,17.5,Yes,1.4 inches,20 - 35 g
214,samsung,29990.0,30990.0,3.22684737,4.3,1489.0,Galaxy Watch 3 41 mm LTE,Circle,Pink,Leather,Yes,3.5,Yes,1.6 inches,20 - 35 g
215,samsung,16990.0,33999.0,50.027942,4.5,12211.0,Galaxy Watch 46 mm,Circle,Black,Rubber,Yes,3.5,Yes,1.8 inches,75g +
216,fitbit,11699.0,14999.0,22.00146676,4.3,3999.0,Versa 2,Square,Black,Silicon,Yes,3.5,Yes,1.3 inches,20 - 35 g
217,fitbit,14999.0,14598.204244031831,48.236893613453574,4.7,996.0,Charge 5,Rectangle,Black,Silicon,Yes,22.0,Yes,1.0 inches,<= 20 g
218,fitbit,14999.0,14598.204244031831,48.236893613453574,4.7,5.0,fitbit charge 5 blue,Rectangle,Blue,Silicon,Yes,3.5,No,1.3 inches,20 - 35 g
219,fitbit,14999.0,14598.204244031831,48.236893613453574,4.7,6.0,fitbit charge 5 black,Rectangle,Black,Silicon,Yes,3.5,No,0.2 inches,20 - 35 g
220,fitbit,20499.0,14598.204244031831,48.236893613453574,4.7,114.0,Fitbit Versa 4 Fitness Watch (Pink Sand / Copper Rose Aluminium) 6Membership,Curved,Pink,Silicon,Yes,3.5,Yes,0.2 inches,20 - 35 g
221,fitbit,8999.0,14598.204244031831,48.236893613453574,4.7,996.0,Inspire 3,Rectangle,Morning Glow,Silicon,Yes,22.0,Yes,0.6 inches,20 - 35 g
222,fitbit,8999.0,14598.204244031831,48.236893613453574,4.7,996.0,FitbitInspire 3 Health & Fitness Tracker (Lilac Bliss / Black,Rectangle,Passion Pink,Rubber,Yes,3.5,No,0.2 inches,20 - 35 g
223,fitbit,17699.0,18999.0,6.842465393,4.3,455.0,Versa 3,Curved,Black,Rubber,Yes,17.5,Yes,15.9 inches,20 - 35 g
224,fitbit,20499.0,14598.204244031831,48.236893613453574,4.7,114.0,Versa 4,Square,Beet Juice,Silicon,Yes,17.5,Yes,1.5 inches,20 - 35 g
225,fitbit,20999.0,22999.0,8.696030262,4.2,547.0,Sense,Curved,Black,Rubber,Yes,17.5,Yes,1.6 inches,<= 20 g
226,fitbit,8999.0,23499.0,61.70475339,4.1,4475.0,Versa Special Edition,Square,Charcoal,Fabric,Yes,3.5,Yes,1.3 inches,20 - 35 g
227,fitbit,26499.0,14598.204244031831,48.236893613453574,4.1,367.0,Ionic,Square,Grey,Rubber,Yes,17.5,Yes,1.3 inches,20 - 35 g
228,fitbit,19999.0,14598.204244031831,48.236893613453574,4.2,1583.0,Blaze,Contemporary,Black,Rubber,Yes,3.5,Yes,1.3 inches,20 - 35 g
229,fitbit,24990.0,14598.204244031831,48.236893613453574,3.9,188.0,Surge,Square,Blue,Rubber,Yes,22.0,Yes,1.3 inches,20 - 35 g
230,fitbit,16999.0,14598.204244031831,48.236893613453574,4.2,426.0,Versa Lite Edition,Square,Purple,Silicon,Yes,3.5,Yes,1.0 inches,20 - 35 g
232,fitbit,20590.0,21499.0,4.228103633,4.1,4475.0,Versa,Square,Black,Silicon,Yes,3.5,Yes,1.3 inches,20 - 35 g
233,fitbit,24999.0,14598.204244031831,48.236893613453574,4.7,996.0,Sense 2,Square,White Platinum,Silicon,Yes,17.5,Yes,1.5 inches,20 - 35 g
234,fitbit,15499.0,23999.0,35.41814242,4.5,92.0,Versa 2 Special Edition,Square,Multicolor,Fabric,Yes,17.5,Yes,1.7 inches,20 - 35 g
235,fitbit,20499.0,14598.204244031831,48.236893613453574,4.7,996.0,Fitbit Versa 4 Fitness Watch (Black / Graphite Aluminium)6-Month Membership,Curved,Black,Rubber,Yes,3.5,Yes,0.2 inches,20 - 35 g
236,fitbit,20499.0,14598.204244031831,48.236893613453574,4.7,996.0,Fitbit Versa 4 Fitness Watch (Waterfall Blue / Platinum Aluminium) Membership,Curved,Blue,Rubber,Yes,22.0,Yes,0.2 inches,20 - 35 g
237,amazfit,3999.0,5999.0,33.33888981,4.2,3130.0,"Pop 2 with Ultra-large 1.78 inch HD AMOLED Display, BT Calling, SpO2",Square,Pink,Silicon,Yes,22.0,Yes,1.8 inches,75g +
238,amazfit,7499.0,16999.0,55.88564033,4.3,11520.0,GTR 2 (New version)1.39HD AMOLEDBluetooth callingupto 10 days battery life,Circle,Grey,Silicon,Yes,8.0,Yes,1.4 inches,<= 20 g
239,amazfit,4499.0,5999.0,25.00416736,4.1,333.0,Bip 3 Pro with 1.69 inch Large Color Display Built-in GPS,Square,Beige,Silicon,Yes,8.0,Yes,1.7 inches,<= 20 g
240,amazfit,9999.0,17999.0,44.44691372,4.5,5265.0,T rex Pro 1.3HD AMOLED with advanced GPS & 10ATM water resistance,Circle,Black,Silicon,Yes,12.5,Yes,1.3 inches,75g +
241,amazfit,16999.0,23999.0,29.167882,4.3,575.0,GTR 4 1.43AMOLED display Bluetooth calling & 6 satellite GPS positioning system,Circle,Black,Silicon,Yes,8.0,Yes,1.4 inches,<= 20 g
242,amazfit,4999.0,6999.0,28.57551079,4.1,4694.0,Bip U pro 1.43 HD display GLONASS GPS & AI assistant,Rectangle,Pink,Silicon,Yes,22.0,Yes,1.4 inches,<= 20 g
243,amazfit,13999.0,18999.0,26.31717459,4.1,306.0,"GTS 3 1,75 HD AMOLED with advanced GPS and 150+ sports modes",Square,Misty Rose,Silicon,Yes,8.0,Yes,1.8 inches,20 - 35 g
244,amazfit,13999.0,18999.0,26.31717459,4.1,918.0,GTR 3 1.3 HD AMOLED with Always on Display and powerful Zepp OS,Circle,Grey,Silicon,Yes,17.5,Yes,1.4 inches,20 - 35 g
245,amazfit,18999.0,25999.0,26.92411247,4.2,115.0,GTR 3 Pro,Circle,Brown,Silicon,Yes,8.0,Yes,1.4 inches,20 - 35 g
246,amazfit,6999.0,9999.0,30.0030003,3.7,81.0,"GTS2 Mini with 1.55"" AMOLED Display Built-in Alexa",Rectangle,Black,Silicon,Yes,8.0,Yes,1.6 inches,20 - 35 g
247,amazfit,8999.0,13999.0,35.71683692,4.3,578.0,GTR 2e,Circle,Black,Silicon,Yes,17.5,Yes,1.4 inches,<= 20 g
248,amazfit,19999.0,23999.0,16.66736114,4.3,996.0,GTS 4 Alexa Built-in Fitness Tracker Calling 1.75'' HD Display SpO2 Waterproof,Rectangle,White,Silicon,Yes,8.0,Yes,1.8 inches,20 - 35 g
249,amazfit,2999.0,5999.0,50.00833472,3.8,15.0,Bip U,Square,Black,Silicon,Yes,22.0,Yes,1.4 inches,<= 20 g
250,amazfit,7200.0,14999.0,51.99679979,4.0,6.0,Bip Lite,Square,Black,Silicon,Yes,3.5,Yes,3.0 inches,20 - 35 g
251,garmin,139990.0,14598.204244031831,48.236893613453574,4.7,6022.0,"Fenix 7X Sapphire Solar, Up to 28 days/37 days with solar*, Built in Flashlight",Circle,Silver,Stainless Steel,Yes,17.5,Yes,0.1 inches,20 - 35 g
252,garmin,16990.0,20990.0,19.05669366,4.4,90.0,"Venu Sq, Smartwatch, Advanced Sleep Monitoring, Upto 6 Days of Battery, SPO2",Square,Grey,Silicon,Yes,17.5,Yes,1.3 inches,20 - 35 g
253,garmin,39490.0,14598.204244031831,48.236893613453574,5.0,6.0,"Forerunner 255, GPS Running Smartwatch, Advanced Insights, HRV Status",Circle,Grey,Silicon,No,8.0,Yes,1.3 inches,20 - 35 g
254,garmin,33490.0,14598.204244031831,48.236893613453574,4.7,996.0,"Venu Sq 2 Music, AMOLED, Mindful Breathing, Upto 11 Days Battery",Square,Black,Silicon,Yes,17.5,Yes,1.4 inches,20 - 35 g
255,garmin,24990.0,36490.0,31.51548369,4.4,43.0,"Forerunner 245 Music, GPS Running Smartwatch, Advanced Running Dynamics",Circle,Red,Silicon,No,22.0,Yes,1.2 inches,20 - 35 g
256,garmin,34990.0,51990.0,32.69859588,4.3,6.0,"Forerunner 745, GPS Multisport Watch, Training Stats, Advanced Running Dynamics",Circle,Red,Silicon,No,22.0,Yes,1.2 inches,20 - 35 g
257,garmin,39490.0,41990.0,5.953798523,4.8,6.0,"Venu 2, GPS Smartwatch, AMOLED Display, Upto 11 Days Battery, SPO2 & Music",Circle,Blue,Silicon,Yes,17.5,Yes,33.0 inches,20 - 35 g
258,garmin,89490.0,93990.0,4.787743377,4.7,996.0,"Fenix 7 Solar Multisport Watch, PacePro Technology, ClimbPro, Stamina Tracking",Circle,Black,Silicon,Yes,12.5,Yes,0.1 inches,20 - 35 g
259,garmin,67490.0,14598.204244031831,48.236893613453574,4.7,996.0,"Forerunner 955 Solar charging upto 20 days, HRV & Stamina Status, Triathlon",Circle,White,Silicon,No,8.0,Yes,1.3 inches,75g +
260,garmin,20990.0,14598.204244031831,48.236893613453574,4.2,61.0,"Forerunner 55, GPS Smartwatch, upto 2 Weeks of Battery Life, PacePro Technology",Circle,Blue,Silicon,No,22.0,Yes,1.0 inches,20 - 35 g
261,garmin,98990.0,14598.204244031831,48.236893613453574,4.7,6022.0,"Epix Gen 2, Sapphire, Up to 16 days Battery, AMOLED Display, Real Time Stamina",Circle,Black,Silicon,Yes,17.5,Yes,0.1 inches,20 - 35 g
262,garmin,49990.0,51990.0,3.846893633,4.7,996.0,Approach S62,Circle,Black,Silicon,Yes,8.0,Yes,1.3 inches,75g +
263,garmin,44990.0,50490.0,10.89324619,4.0,6.0,"Instinct 2 Solar, Rugged Outdoor SmartWatch, Multi GNSS, Tracback Routing",Circle,Blue,Silicon,No,17.5,Yes,0.9 inches,20 - 35 g
264,garmin,22990.0,31490.0,26.99269609,4.1,20.0,"Instinct Esports Edition, Broadcast stress level & HR to PC gaming streams*",Circle,Black,Silicon,No,8.0,Yes,0.9 inches,20 - 35 g
265,garmin,33490.0,36990.0,9.462016761,4.6,5.0,"Instinct 2, Battery Upto 28 days, Tracback Routing, Multi GNSS, Health Snapshot",Circle,Black,Silicon,No,17.5,Yes,0.9 inches,20 - 35 g
266,garmin,39490.0,44990.0,12.22493888,4.7,109.0,"Venu 2S, GPS Smartwatch, AMOLED Display, Upto 11 Days Battery, SPO2 & Music",Circle,White,Silicon,Yes,22.0,Yes,27.9 inches,20 - 35 g
267,garmin,27990.0,14598.204244031831,48.236893613453574,5.0,3.0,"Venu Sq 2, AMOLED, Mindful Breathing, Upto 11 Days of Battery",Square,Grey,Rubber,Yes,17.5,Yes,1.4 inches,20 - 35 g
268,garmin,20490.0,14598.204244031831,48.236893613453574,5.0,3.0,Vivomove Sports,Circle,Brown,Silicon,No,3.5,Yes,18.5 inches,20 - 35 g
269,garmin,89490.0,89990.0,0.555617291,4.7,6022.0,"Epix Gen 2, Up to 16 days Battery, AMOLED Display, Real Time Stamina",Circle,Grey,Silicon,Yes,17.5,Yes,0.1 inches,20 - 35 g
270,garmin,46990.0,14598.204244031831,48.236893613453574,4.5,8.0,"Venu 2 Plus, AMOLED Display, Built in Speaker & MIC, Upto 9 Days Battery, SPO2",Circle,White,Silicon,Yes,3.5,Yes,1.3 inches,75g +
271,garmin,44990.0,46990.0,4.256224729,4.0,6.0,"Instinct 2 Solar, Battery Up to 28 days/Unlimited with solar*, Tracback Routing",Circle,Black,Silicon,No,17.5,Yes,0.9 inches,20 - 35 g
272,garmin,46990.0,62490.0,24.80396863,4.1,10.0,"Forerunner 945, Premium GPS Running/Triathlon Smartwatch with Music",Circle,Black,Silicon,No,8.0,Yes,1.9 inches,20 - 35 g
273,garmin,33490.0,39490.0,15.19371993,4.7,109.0,"Instinct 2S, Battery Upto 21 days, Health Snapshot, SPO2, HIIT workout, VO2 Max",Circle,Red,Silicon,No,17.5,No,0.8 inches,20 - 35 g
274,garmin,20990.0,25990.0,19.23816853,3.4,7.0,"Venu Sq Music, Smartwatch, Advanced Sleep Monitoring, Upto 6 Days Battery, SPO2",Square,Blue,Silicon,Yes,17.5,Yes,1.3 inches,20 - 35 g
275,garmin,64990.0,82990.0,21.68936016,4.7,996.0,"Fenix 6S Sapphire, Premium GPS Watch, Music, Pace Guidance and Pulse Ox Sensors",Circle,Black,Silicon,Yes,22.0,Yes,1.2 inches,75g +
276,garmin,44990.0,50490.0,10.89324619,4.7,996.0,"Instinct 2S Solar, Battery Upto 21 days/51 days with solar*, SPO2, HIIT workout",Circle,Green,Silicon,No,17.5,Yes,0.8 inches,20 - 35 g
277,garmin,76990.0,96390.0,20.12656915,4.7,7.0,"Fenix 6 Sapphire Carbon Gray DLC, Wrist-Based Heart Rate and Pulse OX, Sensors",Circle,Silver,Silicon,Yes,17.5,Yes,1.3 inches,20 - 35 g
278,garmin,67490.0,67990.0,0.735402265,4.7,6022.0,"Fenix 7 Multisport GPS Watch, Upto 18 Days Battery, Climbpro, Stamina, HRV",Circle,Grey,Silicon,Yes,12.5,Yes,0.1 inches,20 - 35 g
279,garmin,39490.0,44990.0,12.22493888,4.7,109.0,"Instinct 2, Rugged Outdoor Watch with GPS, Built for All Elements, Multi-GNSS",Circle,Grey,Silicon,No,17.5,Yes,0.9 inches,20 - 35 g
280,garmin,50490.0,55990.0,9.823182711,4.7,109.0,"Instinct 2 Solar, Tactical Rugged SmartWatch, Multi GNSS, Tracback Routing",Circle,Brown,Silicon,No,17.5,Yes,0.9 inches,20 - 35 g
281,garmin,27990.0,39990.0,30.00750188,3.7,10.0,"Venu, GPS Smartwatch with Music, Body Energy Monitoring, Animated Workouts",Circle,Blue,Silicon,Yes,3.5,Yes,1.2 inches,20 - 35 g
282,huawei,18990.0,29990.0,36.67889296,4.3,189.0,GT 2 Pro,Circle,Black,Fluoroelastomer,Yes,8.0,Yes,1.4 inches,75g +
283,huawei,14990.0,20990.0,28.5850405,4.5,3228.0,Watch GT 2 (46 mm),Circle,Black,Fluoroelastomer,Yes,8.0,Yes,1.8 inches,20 - 35 g
284,huawei,15990.0,20990.0,23.82086708,4.4,399.0,Watch GT Active,Circle,Orange,Silicon,Yes,8.0,Yes,1.8 inches,20 - 35 g
285,huawei,14990.0,19990.0,25.01250625,4.7,996.0,Watch GT 2 (42 mm),Circle,Black,Fluoroelastomer,Yes,22.0,Yes,1.7 inches,<= 20 g
286,huawei,29999.0,14598.204244031831,48.236893613453574,3.8,5.0,Watch 2 Sport with 4G,Circle,Black,Silicon,Yes,17.5,Yes,1.2 inches,20 - 35 g
287,huawei,25999.0,14598.204244031831,48.236893613453574,3.9,21.0,Watch 2 Leather,Circle,Black,Leather,Yes,17.5,Yes,1.2 inches,20 - 35 g
288,huawei,6999.0,9999.0,30.0030003,3.3,20.0,Fit,Circle,Orange,Silicon,Yes,17.5,Yes,1.2 inches,20 - 35 g
289,huawei,10990.0,20990.0,47.64173416,4.5,203.0,Watch GT Sport,Circle,Black,Silicon,Yes,8.0,Yes,1.8 inches,75g +
290,huawei,10990.0,21990.0,50.02273761,4.5,93.0,Watch GT Classic,Circle,Brown,Leather,Yes,8.0,Yes,1.8 inches,75g +
291,huawei,8990.0,19990.0,55.02751376,4.3,1269.0,Watch GT 2e Sport,Circle,Red,Thermo Plastic Polyurethene,Yes,8.0,Yes,1.4 inches,20 - 35 g
292,huawei,11990.0,19990.0,40.02001001,4.3,1269.0,Watch GT 2e Active,Circle,Green,Thermo Plastic Polyurethene,Yes,8.0,Yes,1.4 inches,20 - 35 g
293,huawei,6990.0,14990.0,53.36891261,4.3,119.0,Watch Fit,Rectangle,Pink,Silicon,Yes,22.0,Yes,4.2 inches,<= 20 g
294,fossil,23995.0,14598.204244031831,48.236893613453574,4.2,343.0,Gen 6,Circle,Purple,Silicon,Yes,17.5,Yes,1.3 inches,20 - 35 g
295,fossil,18495.0,14598.204244031831,48.236893613453574,3.8,172.0,Gen 5E,Circle,Black,Stainless Steel,Yes,22.0,Yes,1.7 inches,20 - 35 g
296,fossil,15289.0,22995.0,33.51163296,4.0,470.0,Garrett HR,Circle,Silver,Stainless Steel,Yes,17.5,Yes,1.3 inches,20 - 35 g
297,fossil,17995.0,14598.204244031831,48.236893613453574,3.9,46.0,Sport Smartwatch,Circle,Multicolor,Silicon,Yes,17.5,Yes,1.2 inches,20 - 35 g
298,fossil,19999.0,21995.0,9.074789725,3.8,53.0,Q Venture,Circle,Silver,Stainless Steel,Yes,22.0,Yes,1.7 inches,20 - 35 g
299,fossil,9995.0,14995.0,33.34444815,3.9,57.0,Fb-01 Hybrid Smartwatch Hr,Circle,Black,Silicon,No,22.0,Yes,1.1 inches,20 - 35 g
300,fossil,14995.0,22995.0,34.79017178,4.0,4483.0,The Carlyle HR,Circle,Grey,Stainless Steel,Yes,17.5,Yes,1.3 inches,20 - 35 g
301,fossil,13195.0,21995.0,40.00909298,3.9,510.0,4th Gen Venture HR,Circle,Gold,Stainless Steel,Yes,22.0,Yes,1.6 inches,20 - 35 g
302,fossil,9995.0,17995.0,44.45679355,4.0,1532.0,Sport 43,Circle,Blue,Silicon,Yes,3.5,Yes,1.2 inches,20 - 35 g
303,fossil,9198.0,22995.0,60.0,4.3,283.0,Julianna HR,Circle,Beige,Leather,Yes,17.5,Yes,1.3 inches,20 - 35 g
304,fossil,13495.0,14598.204244031831,48.236893613453574,4.7,996.0,Jacqueline,Circle,Black,Stainless Steel,No,17.5,Yes,1.3 inches,20 - 35 g
305,fossil,17995.0,14598.204244031831,48.236893613453574,4.0,599.0,Sport 41,Circle,Blue,Silicon,Yes,22.0,Yes,1.2 inches,20 - 35 g
306,fossil,18995.0,14598.204244031831,48.236893613453574,4.0,102.0,Wander RG,Circle,Black,Silicon,Yes,22.0,Yes,45.0 inches,20 - 35 g
307,fossil,19995.0,14598.204244031831,48.236893613453574,3.1,28.0,FTW4003 Smart Watch,Circle,Brown,Leather,Yes,22.0,Yes,1.4 inches,20 - 35 g
308,fossil,19995.0,14598.204244031831,48.236893613453574,4.4,69.0,Q Explorist,Circle,Black,Leather,Yes,22.0,Yes,1.7 inches,20 - 35 g
309,fossil,11995.0,14598.204244031831,48.236893613453574,4.3,4.0,Commuter,Circle,Black,Leather,No,17.5,Yes,1.7 inches,20 - 35 g
310,fossil,14995.0,14598.204244031831,48.236893613453574,3.9,41.0,Charter Hybrid HR Smartwatch,Circle,Black,Leather,No,3.5,Yes,1.2 inches,75g +
311,fossil,16495.0,14598.204244031831,48.236893613453574,4.1,123.0,Collider Hybrid HR,Circle,Grey,Stainless Steel,No,3.5,Yes,1.1 inches,20 - 35 g
312,fossil,16495.0,14598.204244031831,48.236893613453574,4.7,996.0,Neutra Hybrid HR,Circle,Silver,Stainless Steel,No,8.0,Yes,1.1 inches,20 - 35 g
313,fossil,9995.0,16495.0,39.40588057,3.8,144.0,FB-01 Hybrid HR,Circle,Black,Stainless Steel,Yes,3.5,Yes,1.1 inches,20 - 35 g
314,fossil,13995.0,14598.204244031831,48.236893613453574,3.8,4.0,FTW1140 Q Hybrid Watch,Circle,Blue,Stainless Steel,No,22.0,Yes,1.7 inches,20 - 35 g
315,fossil,13495.0,14598.204244031831,48.236893613453574,4.4,11.0,Q Jacqueline,Circle,Silver,Stainless Steel,No,17.5,Yes,1.3 inches,20 - 35 g
316,fossil,13495.0,14598.204244031831,48.236893613453574,4.7,3.0,Neely,Circle,Blue,Stainless Steel,No,17.5,Yes,1.3 inches,20 - 35 g
317,fossil,10998.0,21995.0,49.99772676,3.9,5182.0,4th Gen Explorist HR,Circle,Black,Silicon,Yes,22.0,Yes,1.8 inches,20 - 35 g
318,dizo,1299.0,5499.0,76.37752319,4.0,1598.0,"Watch D Sharp 1.75"" with High Res (320*390) Display (By realme techLife)",Rectangle,Grey,Silicon,Yes,8.0,Yes,1.8 inches,20 - 35 g
319,dizo,1799.0,4999.0,64.01280256,4.2,34953.0,Watch D 1.8 inch Dynamic display with 550nits brightness,Rectangle,Black,Silicon,Yes,8.0,Yes,1.8 inches,75g +
320,dizo,3299.0,5999.0,45.00750125,4.0,28926.0,Watch R AMOLED with 45 mm Dial Size (by realme techLife),Circle,Black,Silicon,Yes,22.0,Yes,1.3 inches,20 - 35 g
321,dizo,1999.0,5999.0,66.67777963,4.1,561.0,"Watch D2 with 1.91 inch super big display ,BT Calling (by realme TechLife)",Rectangle,Black,Silicon,Yes,22.0,Yes,1.9 inches,20 - 35 g
322,dizo,1699.0,3999.0,57.51437859,4.2,110067.0,Watch 2,Rectangle,Pink,Silicon,Yes,12.5,Yes,1.7 inches,75g +
323,dizo,1199.0,3499.0,65.73306659,4.2,62964.0,"Watch 2 sports (by realme techlife) 1.69"" Bright screen with 110+ sports modes",Square,Blue,Silicon,Yes,22.0,Yes,1.7 inches,20 - 35 g
324,dizo,4499.0,6999.0,35.71938848,4.2,6385.0,"Watch R Talk, Amoled Display with Calling & 10 days battery",Circle,Grey,Silicon,Yes,22.0,Yes,1.3 inches,75g +
325,dizo,3499.0,5999.0,41.67361227,4.2,1785.0,Watch D Talk 1.8 display with calling&7 day battery (by realme Techlife),Rectangle,Grey,Silicon,Yes,22.0,Yes,1.8 inches,75g +
326,dizo,1999.0,3999.0,50.01250313,3.9,3492.0,Watch S 1.57 Bright touch screen with rectangular display and 110+ sports modes,Rectangle,Pink,Silicon,Yes,22.0,Yes,1.6 inches,20 - 35 g
327,dizo,1999.0,4999.0,60.0120024,4.1,717.0,"Watch D Plus with 1.85inch,550nits display&14 day battery",Rectangle,Blue,Silicon,Yes,8.0,Yes,1.9 inches,20 - 35 g
328,dizo,2799.0,3999.0,30.00750188,4.1,7586.0,Watch Pro,Square,Black,Silicon,Yes,8.0,Yes,1.8 inches,20 - 35 g
329,dizo,3299.0,6999.0,52.86469496,3.9,345.0,WATCH D ULTRA 1.78 AMOLED WITH CALLING,Square,Blue,Silicon,Yes,22.0,Yes,1.8 inches,20 - 35 g
330,dizo,3999.0,6999.0,42.86326618,4.1,663.0,"Watch R Talk Go, 1.39 inch, 550nits display, 10 day battery (by realme TechLife)",Circle,Blue,Silicon,Yes,22.0,Yes,1.4 inches,20 - 35 g
331,dizo,2699.0,5999.0,55.00916819,3.3,222.0,"WATCH D PRO WITH CALLING,D1 CHIPSET,OS,1.85 INCH DISPLAY",Square,Grey,Silicon,Yes,22.0,Yes,1.9 inches,20 - 35 g
332,dizo,5999.0,6999.0,14.28775539,4.2,13.0,"R Talk, Amoled Display with Calling & 10 days battery",Circle,Black,Silicon,Yes,22.0,Yes,1.3 inches,75g +
333,dizo,5999.0,6999.0,14.28775539,4.2,13.0,R TALK SMARTWATCH Amoled Display with Calling10 Days Battery(SilverGrey)FreeSize,Circle,Grey,Silicon,Yes,22.0,Yes,1.3 inches,75g +
334,dizo,3999.0,5999.0,33.33888981,4.2,42860.0,D TALK SMART WATCH (SILVER GREY),Rectangle,Grey,Silicon,Yes,22.0,Yes,1.8 inches,75g +
335,dizo,3999.0,5999.0,33.33888981,4.2,42860.0,"D Talk DW 32051 Smart Watch with Up to 7 Day Battery Life, Classic Black",Rectangle,Black,Silicon,Yes,22.0,Yes,1.8 inches,75g +
336,dizo,2499.0,3999.0,37.50937734,3.6,70.0,Watch 2 Sports i,Square,Black,Plastic,Yes,22.0,Yes,1.7 inches,20 - 35 g
337,gizmore,1199.0,4499.0,73.34963325,4.7,996.0,GizFit CLOUD 1.85 IPS Large Display | AI Voice Assistant | Bluetooth Calling,Square,Blue,Silicon,Yes,22.0,Yes,1.8 inches,20 - 35 g
338,gizmore,1799.0,5999.0,70.01166861,4.2,4813.0,"GizFit Ultra BT Calling Smartwatch With 1.69"" HD Display| 60+ Sports Mode",Square,Grey,Silicon,Yes,3.5,Yes,0.1 inches,20 - 35 g
339,gizmore,1299.0,5499.0,76.37752319,3.8,3137.0,GizFit BLAZE BT Calling Smartwatch | 1.69 Inch IPS Curved 500 NITS Display,Square,Black,Silicon,Yes,3.5,Yes,0.1 inches,20 - 35 g
340,gizmore,2799.0,8999.0,68.89654406,4.0,1994.0,GizFit GLOW AMOLED with 3.4 Cm | ALWAYS-ON | 550 NITS Brightness | BT Calling,Circle,Black,Silicon,Yes,3.5,Yes,1.4 inches,75g +
341,gizmore,1999.0,5999.0,66.67777963,4.0,1178.0,"Blaze Max 1.85"" BT Calling Edge to Edge Display, Voice Assistance, Bluetooth",Square,Grey,Silicon,Yes,8.0,Yes,1.9 inches,20 - 35 g
342,gizmore,3499.0,8999.0,61.11790199,3.7,475.0,GizFit GLOW LUXE AMOLED with 3.35 Cm Display | 500 NITS| Bluetooth Calling,Circle,Black,Leather,Yes,3.5,Yes,1.3 inches,20 - 35 g
343,gizmore,1999.0,6999.0,71.43877697,3.8,927.0,GizFit PLASMA Bluetooth Calling Smartwatch | 1.9 Inch HD Display | 550 NITS,Square,Blue,Silicon,Yes,22.0,Yes,1.9 inches,20 - 35 g
344,gizmore,2399.0,5499.0,56.37388616,5.0,3.0,GIZFIT BLAZE X 1.85 Inch Ultra HD Display | 600 NITS | BT Calling Smartwatch,Square,Burgundy,Silicon,Yes,3.5,Yes,1.9 inches,<= 20 g
345,gizmore,2799.0,6999.0,60.00857265,4.3,7.0,GizFit ORBIT BT Calling with 1.32 Inch Ultra Sharp HD Display|500 NITS|ALWAYS-ON,Circle,Burgundy,Silicon,Yes,3.5,Yes,1.3 inches,20 - 35 g
346,gizmore,2199.0,5999.0,63.34389065,3.5,10.0,Gizfit 910 Pro Bluetooth Calling with AI Voice Assistance,Square,Black,Silicon,Yes,3.5,Yes,1.7 inches,20 - 35 g
347,gizmore,1999.0,5999.0,66.67777963,3.5,30.0,Gizfit Slate BT Calling | 1.57 Inch display | AI voice Assistance,Rectangle,Black,Silicon,Yes,3.5,Yes,1.6 inches,<= 20 g
348,gizmore,1799.0,2999.0,40.01333778,3.8,645.0,GizFit 902,Square,Black,Silicon,Yes,22.0,Yes,1.0 inches,20 - 35 g
349,gizmore,1499.0,6999.0,78.58265466,4.7,996.0,Vogue 1.95 Edge to Edge Larger IPS HD Display Bluetooth Calling,Square,Grey,Silicon,Yes,22.0,Yes,1.9 inches,20 - 35 g
350,gizmore,6999.0,14598.204244031831,48.236893613453574,4.7,996.0,GizFIt Vogue 1.95 Always On 600 NITS HD Display Bluetooth Calling,Square,Orange,Silicon,Yes,22.0,Yes,1.9 inches,20 - 35 g
351,gizmore,2799.0,6999.0,60.00857265,4.7,996.0,GizFit ORBIT BT Calling with 3.3 Cm | ALWAYS-ON | 500 NITS Brightness,Circle,Black,Silicon,Yes,3.5,Yes,1.3 inches,20 - 35 g
352,ambrane,1299.0,4999.0,74.01480296,4.2,60292.0,Wise-Eon 1.69Lucid Display bluetooth calling function & 7 days battery life,Square,Grey,Silicon,Yes,22.0,Yes,1.7 inches,20 - 35 g
