,Brand,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Model Name,Dial Shape,Strap Color,Strap Material,Touchscreen,Battery Life (Days),Bluetooth,Display Size,Weight
102,zebronics,1799.0,6499.0,72.31881828,3.8,2138.0,ZEB-DRIP (BLUE),Circle,Black,Silicon,Yes,3.5,Yes,1.7 inches,35 - 50 g
103,zebronics,3499.0,11499.0,69.57126707,4.2,52.0,ZEB FIT 4 - BLACK (ICONIC ULTRA),Circle,Black,Silicon,Yes,0.75,Yes,1.8 inches,50 - 75 g
104,zebronics,3599.0,10999.0,67.27884353,3.9,1611.0,ZEB - COSMOS Lv1 - METALLIC BLACK,Circle,Black,Silicon,Yes,8.0,Yes,4.5 inches,50 - 75 g
105,zebronics,1999.0,6999.0,71.43877697,3.8,2138.0,ZEB-DRIP (METAL SILVER),Circle,Black,Silicon,Yes,3.5,Yes,4.3 inches,35 - 50 g
106,zebronics,2399.0,5999.0,60.01000167,3.8,3805.0,ZEB-FIT5220CH(Gold Metal),Circle,Black,Other,Yes,22.0,Yes,4.4 inches,35 - 50 g
107,zebronics,12747.554545454546,14598.204244031831,48.236893613453574,3.5,100.0,ZEB-FIT7220CH (Metallic Silver)-cr,Circle,Black,Silicon,Yes,8.0,Yes,4.4 inches,75g +
108,zebronics,3599.0,10999.0,67.27884353,3.9,1611.0,ZEB - COSMOS Lv1 CLASSIC BLACK,Circle,Black,Silicon,Yes,8.0,Yes,4.5 inches,50 - 75 g
109,fire-boltt,1299.0,7999.0,83.76047006,4.2,25784.0,BSW030,Circle,Black,Silicon,Yes,8.0,Yes,1.7 inches,35 - 50 g
110,fire-boltt,2499.0,11999.0,79.17326444,4.1,1990.0,BSW070,Circle,Black,Silicon,Yes,8.0,Yes,1.9 inches,75g +
111,fire-boltt,1799.0,9999.0,82.00820082,4.2,33415.0,BSW042,Circle,Black,Silicon,Yes,8.0,Yes,1.3 inches,50 - 75 g
112,fire-boltt,2499.0,9999.0,75.00750075,4.2,23302.0,BSW043,Circle,Black,Silicon,Yes,3.5,Yes,1.8 inches,50 - 75 g
113,fire-boltt,2499.0,9999.0,75.00750075,4.2,23302.0,BSW043,Circle,Black,Silicon,Yes,3.5,Yes,1.8 inches,50 - 75 g
114,fire-boltt,1794.0,7999.0,77.57219652,4.1,33012.0,BSW024,Circle,Black,Silicon,Yes,8.0,Yes,1.7 inches,35 - 50 g
115,fire-boltt,3499.0,11999.0,70.8392366,4.1,44170.0,BSW005,Circle,Black,Silicon,Yes,3.5,Yes,1.9 inches,75g +
116,fire-boltt,2499.0,18999.0,86.84667614,4.2,11.0,BSW073,Circle,Black,Silicon,Yes,3.5,Yes,1.9 inches,75g +
117,fire-boltt,2499.0,11999.0,79.17326444,4.1,1990.0,BSW070,Circle,Black,Silicon,Yes,8.0,Yes,1.9 inches,75g +
118,fire-boltt,1399.0,11999.0,88.34069506,4.1,1519.0,BSW037,Circle,Black,Silicon,Yes,8.0,Yes,1.8 inches,75g +
119,fire-boltt,1899.0,8999.0,78.8976553,4.0,15543.0,BSW003,Circle,Black,Silicon,Yes,8.0,Yes,1.3 inches,50 - 75 g
120,fire-boltt,1999.0,7999.0,75.00937617,4.1,33012.0,BSW024,Circle,Black,Silicon,Yes,8.0,Yes,1.7 inches,35 - 50 g
121,fire-boltt,1799.0,11999.0,85.00708392,4.3,39274.0,BSW100,Circle,Black,Silicon,Yes,3.5,Yes,1.4 inches,75g +
122,apple,29650.0,29900.0,0.836120401,4.5,154.0,Watch SE GPS (2nd Gen),Rectangle,Midnight,Silicon,Yes,22.0,Yes,1.6 inches,<= 20 g
123,apple,37900.0,14598.204244031831,48.236893613453574,4.4,65.0,Watch SE GPS + Cellular (2nd Gen),Rectangle,Starlight Sport,Silicon,Yes,22.0,Yes,1.7 inches,<= 20 g
124,apple,23349.0,23900.0,2.305439331,4.6,55800.0,"Watch Series 3 (GPS, 42mm) - Space Grey Aluminium Case with Black Sport Band",Rectangle,Black,Silicon,Yes,22.0,Yes,1.7 inches,20 - 35 g
125,apple,33900.0,14598.204244031831,48.236893613453574,4.6,3440.0,Watch SE GPS + Cellular,Rectangle,Pink,Silicon,Yes,22.0,Yes,1.6 inches,<= 20 g
126,apple,89900.0,14598.204244031831,48.236893613453574,4.7,51.0,Watch Ultra GPS + Cellular,Rectangle,Orange Alpine,Fabric,Yes,3.5,Yes,1.9 inches,75g +
127,apple,55900.0,14598.204244031831,48.236893613453574,4.5,132.0,Watch Series 8 GPS + Cellular,Rectangle,Starlight Sport,Silicon,Yes,22.0,Yes,1.6 inches,<= 20 g
128,apple,44730.0,44900.0,0.378619154,4.6,2847.0,"Watch Series7 (GPS, 45mm) - Green Aluminium Case with Clover Sport Band",Rectangle,Green,Aluminium,Yes,22.0,Yes,1.8 inches,20 - 35 g
129,apple,41900.0,14598.204244031831,48.236893613453574,4.6,2847.0,"Watch Series7 (GPS, 41mm) - Green Aluminium Case with Clover Sport Band",Rectangle,Green,Aluminium,Yes,22.0,Yes,1.6 inches,<= 20 g
130,apple,29900.0,14598.204244031831,48.236893613453574,4.6,5502.0,"Watch SE (GPS, 40mm) - Gold Aluminium Case with Starlight Sport Band - Regular",Rectangle,Gold,Silicon,Yes,22.0,Yes,1.6 inches,<= 20 g
131,apple,49666.0,50900.0,2.424361493,4.5,1519.0,"Watch Series7 (GPS + Cellular, 41mm)Blue Aluminium Case-Abyss Blue Sport Band",Rectangle,Blue,Aluminium,Yes,22.0,Yes,1.6 inches,<= 20 g
132,apple,53900.0,14598.204244031831,48.236893613453574,4.5,1519.0,"Watch Series7 (GPS + Cellular, 45mm)Blue Aluminium Case-Abyss Blue Sport Band",Rectangle,Blue,Aluminium,Yes,22.0,Yes,1.8 inches,20 - 35 g
133,apple,49900.0,14598.204244031831,48.236893613453574,4.5,1349.0,Watch Series 6 GPS + Cellular,Rectangle,Black,Silicon,Yes,22.0,Yes,1.6 inches,20 - 35 g
134,apple,48900.0,14598.204244031831,48.236893613453574,4.3,158.0,Watch Series 8 GPS,Rectangle,Starlight Sport,Silicon,Yes,22.0,Yes,1.8 inches,20 - 35 g
135,apple,29900.0,14598.204244031831,48.236893613453574,4.6,5502.0,"Watch SE(GPS, 40mm) - Silver Aluminium Case with Abyss Blue Sport Band - Regular",Rectangle,Silver,Silicon,Yes,22.0,Yes,1.6 inches,<= 20 g
136,apple,29900.0,14598.204244031831,48.236893613453574,4.6,5502.0,Apple Watch SE,Rectangle,White,Silicon,Yes,22.0,Yes,1.6 inches,<= 20 g
137,apple,32899.0,32900.0,0.003039514,4.6,5502.0,"Watch SE (GPS, 44mm) - Space Grey Aluminium Case with Midnight Sport Band",Rectangle,Grey,Silicon,Yes,22.0,Yes,1.7 inches,20 - 35 g
138,apple,22900.0,23900.0,4.184100418,4.6,55800.0,"Watch Series 3 (GPS, 42mm) - Silver Aluminium Case with White Sport Band",Rectangle,White,Silicon,Yes,22.0,Yes,1.7 inches,20 - 35 g
139,apple,41900.0,14598.204244031831,48.236893613453574,4.6,2847.0,"Watch Series7 (GPS, 41mm) - Midnight Aluminium Case with Midnight Sport Band",Rectangle,Black,Aluminium,Yes,22.0,Yes,1.6 inches,<= 20 g
140,apple,53900.0,14598.204244031831,48.236893613453574,4.5,1519.0,Watch Series7 (GPS+Cellular-45mm)Green Aluminium Case-Clover Sport Band,Rectangle,Green,Aluminium,Yes,22.0,Yes,1.8 inches,20 - 35 g
141,apple,44900.0,14598.204244031831,48.236893613453574,4.6,2847.0,Watch Series7 (GPS-45mm) (PRODUCT)RED Aluminium Case-(PRODUCT)RED Sport Band,Rectangle,Red,Aluminium,Yes,22.0,Yes,1.8 inches,20 - 35 g
142,apple,44900.0,14598.204244031831,48.236893613453574,4.6,2847.0,"Watch Series7 (GPS, 45mm) - Blue Aluminium Case with Abyss Blue Sport Band",Rectangle,Blue,Aluminium,Yes,22.0,Yes,1.8 inches,20 - 35 g
143,apple,41900.0,14598.204244031831,48.236893613453574,4.6,2847.0,"Watch Series7 (GPS, 41mm) - Blue Aluminium Case with Abyss Blue Sport Band",Rectangle,Blue,Aluminium,Yes,22.0,Yes,1.6 inches,<= 20 g
144,apple,40900.0,14598.204244031831,48.236893613453574,4.5,1720.0,Watch Series 6 GPS,Rectangle,Black,Silicon,Yes,22.0,Yes,1.6 inches,20 - 35 g
145,apple,41900.0,14598.204244031831,48.236893613453574,4.6,2847.0,"Watch Series7 (GPS, 41mm) - Starlight Aluminium Case with Starlight Sport Band",Rectangle,White,Aluminium,Yes,22.0,Yes,1.6 inches,<= 20 g
146,apple,32900.0,14598.204244031831,48.236893613453574,4.6,5502.0,"Watch SE (GPS, 44mm) - Gold Aluminium Case with Starlight Sport Band - Regular",Rectangle,Gold,Silicon,Yes,22.0,Yes,1.7 inches,20 - 35 g
147,apple,73900.0,14598.204244031831,48.236893613453574,4.5,1519.0,"Watch Series7(GPS+Cellular, 41mm)-Gold Stainless Steel Case-Gold Milanese Loop",Rectangle,Gold,Stainless Steel,Yes,22.0,Yes,1.6 inches,<= 20 g
148,noise,1999.0,5999.0,66.67777963,4.2,80483.0,"ColorFit Icon 2 1.8 Display, Bluetooth Calling, AI Voice Assistance",Rectangle,Black,Silicon,Yes,22.0,Yes,1.8 inches,20 - 35 g
149,noise,1299.0,3999.0,67.51687922,4.2,27445.0,"ColorFit Caliber Go with 1.69 inch HD Display, 40 Sports Modes, 150+ Watch Faces",Square,Black,Silicon,Yes,22.0,Yes,1.7 inches,20 - 35 g
150,noise,1799.0,4999.0,64.01280256,4.2,219512.0,"Icon Buzz BT Calling with 1.69"" display , AI Voice Assistance, Built-In Games",Rectangle,Black,Silicon,Yes,22.0,Yes,1.7 inches,20 - 35 g
151,noise,1499.0,4999.0,70.0140028,3.4,504.0,"ColorFit Caliber 2 with 1.83'' display Up to 12 Day Battery, 60 sports mode",Rectangle,Green,Silicon,Yes,8.0,Yes,1.8 inches,20 - 35 g
152,noise,1599.0,4999.0,68.01360272,4.3,4398.0,"Caliber Buzz Advanced BT Calling(True Sync), 1.69"" display, 500 NITS Brightness",Rectangle,Green,Silicon,Yes,22.0,Yes,1.7 inches,20 - 35 g
153,noise,1499.0,3999.0,62.51562891,4.2,275607.0,"ColorFit Caliber Smart Watch with 15-day battery, 1.69"" display, 60 Sports Modes",Square,White,Silicon,Yes,8.0,Yes,1.7 inches,20 - 35 g
154,noise,3999.0,6999.0,42.86326618,4.4,12469.0,"Evolve 3, 1.43"" AMOLED AOD, 466*466px, 500 nits, BT calling,Tru Sync Technology",Circle,Black,Silicon,Yes,22.0,Yes,1.4 inches,20 - 35 g
155,noise,2999.0,7999.0,62.50781348,4.3,11755.0,ColorFit Vision 2 Buzz,Square,Black,Silicon,Yes,22.0,Yes,1.8 inches,20 - 35 g
156,noise,2999.0,5999.0,50.00833472,4.3,13108.0,"ColorFit Pro4 BT Calling 1.72"" TruView Display, Fully-functional digital crown",Rectangle,Black,Silicon,Yes,22.0,Yes,1.7 inches,20 - 35 g
157,noise,2499.0,6999.0,64.29489927,4.3,3944.0,"ColorFit Loop Advanced BT Calling with 1.85"" display,130+Sports Modes",Square,Grey,Silicon,Yes,22.0,Yes,1.9 inches,20 - 35 g
158,noise,1299.0,4999.0,74.01480296,4.1,142612.0,"Qube with 1.4"" Full Touch display, Multi-Sports modes, 7-day Battery,Spo2",Square,Black,Thermo Plastic Polyurethene,Yes,22.0,Yes,1.4 inches,20 - 35 g
159,noise,2999.0,8999.0,66.6740749,4.1,22942.0,"Fit Buzz with 1.32inch HD Round Screen, Bluetooth calling and SPO2",Circle,Black,Silicon,Yes,22.0,Yes,1.3 inches,20 - 35 g
160,noise,3799.0,5999.0,36.6727788,4.2,6004.0,"ColorFit Pro4 Max 1.8"" BT Calling, Noise detection, Noise Health Suite",Rectangle,Black,Silicon,Yes,22.0,Yes,1.8 inches,20 - 35 g
161,noise,1499.0,4999.0,70.0140028,4.1,148555.0,ColorFit Pro 2,Rectangle,Black,Synthetic,Yes,22.0,Yes,1.3 inches,<= 20 g
162,noise,1799.0,5999.0,70.01166861,4.2,32505.0,ColorFit Brio,Rectangle,Black,Thermo Plastic Polyurethene,Yes,22.0,Yes,1.5 inches,20 - 35 g
163,noise,1999.0,5999.0,66.67777963,4.1,69379.0,ColorFit Pro 3,Rectangle,Black,Thermo Plastic Polyurethene,Yes,3.5,Yes,1.6 inches,20 - 35 g
164,noise,1499.0,3999.0,62.51562891,4.0,6638.0,"Core 2 1.28"" Display , Noisefit sync app, 100+ watch faces & 50+ Sports Modes",Circle,Black,Silicon,Yes,22.0,Yes,1.3 inches,20 - 35 g
